face,family,style,weight,display,source_kind,source_reference,source_mime,payload_bytes,payload_sha256,license_status
1,Anton,normal,400,swap,bundler-manifest,dee763e7-c9ea-4094-b87a-fbb6fb846773,font/woff2,5188,889f979804fc6c2ddb3c9577805caf156bfd092a5b6e58d680535d65267b933e,unverified
2,Anton,normal,400,swap,bundler-manifest,70bb5fd0-cb67-4e5e-af86-65f8f82e3fe4,font/woff2,21296,ae1a8ac1c2899a66eed47a851201bb78a56664bf8da6d34a9ee226582d15ac19,unverified
3,Anton,normal,400,swap,bundler-manifest,29dd6730-3426-4ce0-bc92-4555be43b36e,font/woff2,12004,23aab0b2692a0c89eb7997d3c7cf5bda41276d6cd4ab6cc0edc3edfcece32b09,unverified
4,Hanken Grotesk,italic,100 900,swap,bundler-manifest,bba3fc25-3786-4400-8a82-e0f5f016f80f,font/woff2,1724,bb57f3deea368fb497c2cb943916c4c299f8e773cfa1819935e8688e243bb7aa,unverified
5,Hanken Grotesk,italic,100 900,swap,bundler-manifest,6a0a4e7f-4be5-4dfe-b762-3e12e1d501de,font/woff2,9828,6b49aea2043a7cc59e451d639ef3f9896a663f794fff6ed1137a4683e67704ab,unverified
6,Hanken Grotesk,italic,100 900,swap,bundler-manifest,fbc99a4e-ffc2-483b-8234-82506dac606b,font/woff2,20288,80b363f717e9762ac3a0114d5efd759ce4c2daa143296ccbf3962d2acc34e322,unverified
7,Hanken Grotesk,italic,100 900,swap,bundler-manifest,4d83f2e7-ddb7-4fc0-8758-5169a30a3209,font/woff2,35684,99721f51a4d5925d9d08021fb5575ef017fa18a40578ca897485808ce68bc19a,unverified
8,Hanken Grotesk,normal,100 900,swap,bundler-manifest,ea37bc06-0129-4ed1-9804-18dd3d8bb00f,font/woff2,1644,2f52020a90793104e4178b0ae3ccd30eea28cac27e0fea8fcf4f246151777f74,unverified
9,Hanken Grotesk,normal,100 900,swap,bundler-manifest,bede1ee8-885e-4eb8-b21f-8ad5b49183d0,font/woff2,9364,2f467719b2167cc4778b5780a2fb42fadf5203b29d0fb5f1482bbab32b1b7999,unverified
10,Hanken Grotesk,normal,100 900,swap,bundler-manifest,95b37961-88f6-40b6-99c5-c1684c9c464c,font/woff2,19572,a1376a563717f1efa2f5286ab23da2b61ae8dec827a77b97adfa01cad4ec4ee2,unverified
11,Hanken Grotesk,normal,100 900,swap,bundler-manifest,c27cd014-91d7-4113-bbe4-046ce1d1e2c0,font/woff2,34664,1f21c6eaa0000f3329cfcfac966b43d5bebf5aa610303e33294ac31bc6f4bb59,unverified
12,JetBrains Mono,italic,100 800,swap,bundler-manifest,49a4a96e-9559-4a60-b4fe-4c8e78ff31bc,font/woff2,2124,b1991e2a6e2ee044aa012ebd3a8ad1b7b36c068ca516dc0e8c35e1ad7fa67801,unverified
13,JetBrains Mono,italic,100 800,swap,bundler-manifest,7582dfcc-eeff-4fbb-bfea-c07978f75fc1,font/woff2,13364,1e9a92863e564a1699e0dd92fed98c2d1a7471f64356296c4cd45e8b444ed62b,unverified
14,JetBrains Mono,italic,100 800,swap,bundler-manifest,0105f399-499d-4a66-a2e7-12b8c58f328e,font/woff2,9472,91ebeb80254315f4ada3ac7c2fd0829bf6fabe0f26f4f63d70f30e9309703222,unverified
15,JetBrains Mono,italic,100 800,swap,bundler-manifest,25a89958-33c8-4f55-a22a-50bcf055916c,font/woff2,8124,2f71cd14770c41446be2b9c2cad8e5e7ba8981e0a11496427e26cccd804c9f59,unverified
16,JetBrains Mono,italic,100 800,swap,bundler-manifest,71c2597d-6304-4b42-b106-3337a8b8b87c,font/woff2,16540,bdce8a4f00f61bed7141af8ac231a91be56de82f41ca2b981b34ff48359c288a,unverified
17,JetBrains Mono,italic,100 800,swap,bundler-manifest,6a78432c-ec05-4cd1-9f3d-08355aa8b8fb,font/woff2,42928,6548575d68391672486bf3815a8dd9fe0ae251d1087875581ac8912d5cb52baa,unverified
18,JetBrains Mono,normal,100 800,swap,bundler-manifest,c13681f6-48f5-46aa-ae75-2b98e00d8067,font/woff2,2020,992eea2f70210457ddd1196de4df3240919ffe068ad188c79d985fba4565d3bf,unverified
19,JetBrains Mono,normal,100 800,swap,bundler-manifest,e48a213d-9cec-4073-b17b-50a06d820ff2,font/woff2,12064,af7486955880be1c2b972e9c766acffb776768d669b6576ed9a0919ce72e7ca6,unverified
20,JetBrains Mono,normal,100 800,swap,bundler-manifest,7aa7ddb8-1118-461c-9456-b3c8d936c7ff,font/woff2,9084,3edf363dbf9d5fa0cdc784ae2b431a8a4152f4055a8a8858028c0bd668808273,unverified
21,JetBrains Mono,normal,100 800,swap,bundler-manifest,9fae2eca-f49d-4030-991a-617030ac291f,font/woff2,7468,1390e86cc2823e759358918c01c4fcc1b6e4f01bca915bdbeb6d68eb5c244405,unverified
22,JetBrains Mono,normal,100 800,swap,bundler-manifest,e9127365-3f6b-458f-8cc0-a1c614f2acd5,font/woff2,15204,7db7affbce1fdee69c1ffc2641bbca289b049867f524c9d861fe35ab6670bf29,unverified
23,JetBrains Mono,normal,100 800,swap,bundler-manifest,b09d0942-ea13-4d86-817d-49aa0e6317e4,font/woff2,40480,1e06740a02a443fb7f3eeda8fcaa685a0f6c620e3f01e6666e847295469ce3ad,unverified
