class,occurrences,candidate_group,page_only_candidate
.td-actiondock,1,actiondock,review
.td-actiondock-btn,3,actiondock-btn,review
.td-actiondock-btn--accent,1,actiondock-btn,review
.td-actiondock-btn--brand,1,actiondock-btn,review
.td-alert,4,alert,review
.td-alert--error,2,alert-,review
.td-alert--info,2,alert-,review
.td-alert--success,2,alert-,review
.td-alert--warning,1,alert-,review
.td-alert-close,2,alert-close,review
.td-alert-icon,5,alert-icon,review
.td-alt-stage--subtle,1,alt-stage,review
.td-article,5,article,review
.td-article--rich,1,article-,review
.td-article-arrow,2,article-arrow,review
.td-article-asset,14,article-asset,review
.td-article-asset-meta,1,article-asset,review
.td-article-assetrow,2,article-assetrow,review
.td-article-assets,1,article-assets,review
.td-article-author,1,article-author,review
.td-article-avatar,1,article-avatar,review
.td-article-badge,1,article-badge,review
.td-article-badge--feature,1,article-badge,review
.td-article-badges,1,article-badges,review
.td-article-body,1,article-body,review
.td-article-cat,1,article-cat,review
.td-article-date,1,article-date,review
.td-article-excerpt,1,article-excerpt,review
.td-article-foot,1,article-foot,review
.td-article-head,1,article-head,review
.td-article-head-icon,2,article-head,review
.td-article-meta,1,article-meta,review
.td-article-meta-sep,1,article-meta,review
.td-article-name,1,article-name,review
.td-article-payload,1,article-payload,review
.td-article-payload-label,1,article-payload,review
.td-article-read,2,article-read,review
.td-article-title,2,article-title,review
.td-article-titlelink,2,article-titlelink,review
.td-articles,2,articles,review
.td-aspect,1,aspect,review
.td-aspect-content,1,aspect-content,review
.td-aspect-sub,1,aspect-sub,review
.td-audio,1,audio,review
.td-audio-art,2,audio-art,review
.td-audio-bar,1,audio-bar,review
.td-audio-bar-fill,1,audio-bar,review
.td-audio-body,1,audio-body,review
.td-audio-time,1,audio-time,review
.td-audio-title,1,audio-title,review
.td-audioplayer,1,audioplayer,review
.td-audioplayer-body,1,audioplayer-body,review
.td-audioplayer-btn,5,audioplayer-btn,review
.td-avatar,3,avatar,review
.td-avatar--accent,1,avatar-,review
.td-avatar--brand,1,avatar-,review
.td-avatar--green,1,avatar-,review
.td-avatar--ink,1,avatar-,review
.td-avatar-group,4,avatar-group,review
.td-avatar-more,1,avatar-more,review
.td-avatar-status,5,avatar-status,review
.td-avatarstack,3,avatarstack,review
.td-avatarstack-item,7,avatarstack-item,review
.td-avatarstack-name,3,avatarstack-name,review
.td-badge,1,badge,review
.td-badge--accent,1,badge-,review
.td-badge--brand,1,badge-,review
.td-badge--green,1,badge-,review
.td-badge--ink,1,badge-,review
.td-barcode,1,barcode,review
.td-barcode-cursor,2,barcode-cursor,review
.td-barcode-hint,1,barcode-hint,review
.td-barcode-icon,1,barcode-icon,review
.td-barcode-input,1,barcode-input,review
.td-bare-btn,3,bare-btn,review
.td-bc,1,bc,review
.td-bc--bar,3,bc-,review
.td-bc--chev,1,bc-,review
.td-bc--slash,1,bc-,review
.td-bc-item,5,bc-item,review
.td-bc-sep,3,bc-sep,review
.td-bell,2,bell,review
.td-bell-badge,1,bell-badge,review
.td-bento,3,bento,review
.td-bento-cell,2,bento-cell,review
.td-bento-cell--span-full,1,bento-cell,review
.td-bento-cell--span2,1,bento-cell,review
.td-bento-cell--span2r,1,bento-cell,review
.td-bento-eyebrow,1,bento-eyebrow,review
.td-bento-text,1,bento-text,review
.td-bento-title,1,bento-title,review
.td-bizcard,1,bizcard,review
.td-bizcard-co,1,bizcard-co,review
.td-bizcard-info,1,bizcard-info,review
.td-bizcard-name,1,bizcard-name,review
.td-bizcard-scan,1,bizcard-scan,review
.td-bizcard-view,1,bizcard-view,review
.td-blockquote,3,blockquote,review
.td-body,2,body,review
.td-bottomnav,1,bottomnav,review
.td-bottomnav-item,4,bottomnav-item,review
.td-brand,2,brand,review
.td-brand-dot,2,brand-dot,review
.td-brand-text,3,brand-text,review
.td-breadcrumbs,4,breadcrumbs,review
.td-breadcrumbs-sep,1,breadcrumbs-sep,review
.td-btn-row,4,btn-row,review
.td-bulkbar,6,bulkbar,review
.td-bulkbar-count,1,bulkbar-count,review
.td-bullet,1,bullet,review
.td-bullet-band,1,bullet-band,review
.td-bullet-fill,1,bullet-fill,review
.td-bullet-name,1,bullet-name,review
.td-bullet-target,1,bullet-target,review
.td-bullet-track,1,bullet-track,review
.td-bullet-val,1,bullet-val,review
.td-cal,1,cal,review
.td-cal-day,8,cal-day,review
.td-cal-day-h,1,cal-day,review
.td-cal-grid,2,cal-grid,review
.td-cal-head,1,cal-head,review
.td-cal-nav,3,cal-nav,review
.td-card,2,card,review
.td-card-avatar,1,card-avatar,review
.td-card-body,1,card-body,review
.td-card-case,3,card-case,review
.td-card-case-body,1,card-case,review
.td-card-case-tag,1,card-case,review
.td-card-case-visual,2,card-case,review
